Date;Open;High;Low;Close;Adj Close;Volume
23/06/2023;42.464001;42.808998;42.014999;42.209;42.196365;358140000
26/06/2023;42.460999;42.764;40.099998;40.632;40.619839;594322000
27/06/2023;40.799;41.939999;40.448002;41.875999;41.863468;462175000
28/06/2023;40.66;41.845001;40.518002;41.117001;41.104691;582639000
29/06/2023;41.557999;41.599998;40.599998;40.821999;40.809776;380514000
30/06/2023;41.68;42.549999;41.500999;42.301998;42.289337;501148000
3/07/2023;42.516998;42.897999;42.202;42.412998;42.400307;198209000
5/07/2023;42.134998;43.176998;42.084999;42.317001;42.304337;323618000
6/07/2023;41.844002;42.179001;41.346001;42.103001;42.090401;303582000
7/07/2023;42.321999;43.214001;42.18;42.502998;42.490276;355881000
10/07/2023;42.657001;42.811001;41.648998;42.18;42.167374;353908000
11/07/2023;42.480999;42.757999;42.067001;42.404999;42.392307;298244000
12/07/2023;43.033001;43.935001;42.777;43.902;43.888859;481277000
13/07/2023;44.518002;46.154999;44.492001;45.977001;45.963238;478204000
14/07/2023;46.583;48.088001;45.060001;45.469002;45.455391;772075000
17/07/2023;46.289001;46.495998;45.262001;46.460999;46.447094;510488000
18/07/2023;46.701;47.896;45.734001;47.493999;47.479786;569164000
19/07/2023;47.464001;47.818001;46.742001;47.077;47.062908;427502000
20/07/2023;46.507;47.087002;45.062;45.52;45.506374;537865000
21/07/2023;45.787998;45.866001;44.099998;44.308998;44.295734;963769000
24/07/2023;44.730999;45.109001;44.040001;44.612;44.598652;382516000
25/07/2023;44.941002;46.182999;44.923;45.679001;45.665329;348081000
26/07/2023;46.021;46.053001;44.630001;45.452;45.4384;364237000
27/07/2023;46.519001;47.395;45.75;45.900002;45.886265;455976000
28/07/2023;46.667999;47.027;46.381001;46.75;46.736008;331194000
31/07/2023;46.754002;47.130001;46.506001;46.729;46.715012;251055000
1/08/2023;46.459999;46.900002;46.027;46.507;46.49308;237858000
2/08/2023;45.831001;45.84;43.387001;44.269001;44.255753;530142000
3/08/2023;43.799999;45.118;43.799999;44.514999;44.501678;324176000
4/08/2023;44.985001;45.641998;44.393002;44.68;44.666626;362666000
7/08/2023;45.111;45.540001;44.563;45.417;45.403404;322154000
8/08/2023;44.853001;45.242001;44.056;44.664001;44.650639;353843000
9/08/2023;44.273998;44.312;42.133999;42.554001;42.541264;586449000
10/08/2023;42.16;43.574001;41.834999;42.388;42.375317;492705000
11/08/2023;41.750999;42.018002;40.639;40.855;40.842773;533085000
14/08/2023;40.486;43.799999;40.311001;43.752998;43.739902;690286000
15/08/2023;44.560001;45.268002;43.709999;43.939999;43.926846;676512000
16/08/2023;44.52;44.674999;43.405998;43.486;43.472984;527451000
17/08/2023;43.970001;44.062;43.000999;43.344002;43.331028;452395000
18/08/2023;42.634998;43.577999;41.66;43.299;43.286041;583768000
21/08/2023;44.493999;47.064999;44.222;46.966999;46.952946;692573000
22/08/2023;48.134998;48.187;45.333;45.667999;45.654335;755293000
23/08/2023;45.866001;47.200001;45.208;47.116001;47.101902;779046000
24/08/2023;50.216;50.265999;47.159;47.162998;47.148884;1156044000
25/08/2023;47.012001;47.805;45.023998;46.018002;46.004227;925341000
28/08/2023;46.481998;46.98;44.888;46.834999;46.820984;685192000
29/08/2023;46.666;49.081001;46.390999;48.784;48.769402;701397000
30/08/2023;49.043999;49.926998;48.424999;49.264;49.249256;735206000
31/08/2023;49.380001;49.743999;48.958;49.355;49.340229;528570000
1/09/2023;49.762001;49.799999;48.141998;48.508999;48.494484;463830000
5/09/2023;48.223;48.851002;47.860001;48.548;48.53347;382653000
6/09/2023;48.441002;48.549;46.580002;47.061001;47.050789;468670000
7/09/2023;45.525002;46.344002;45.152;46.241001;46.230968;433330000
